platform,cpu,compiler,algorithm,backend,operation,size_bytes,sample,elapsed_ns,bytes_processed,ns_per_byte,gbps,cycles_per_byte,status
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,9,7744000,1048576,7.385253906,0.135404959,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,10,7885000,1048576,7.519721985,0.132983640,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,11,7776000,1048576,7.415771484,0.134847737,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,12,7835000,1048576,7.472038269,0.133832291,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,13,7730000,1048576,7.371902466,0.135650194,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,14,7838000,1048576,7.474899292,0.133781067,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,15,7737000,1048576,7.378578186,0.135527465,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,1,1347000,262144,5.138397217,0.194613215,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,2,1412000,262144,5.386352539,0.185654391,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,3,1371000,262144,5.229949951,0.191206419,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,4,1397000,262144,5.329132080,0.187647817,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,5,1359000,262144,5.184173584,0.192894776,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,6,1345000,262144,5.130767822,0.194902602,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,7,1348000,262144,5.142211914,0.194468843,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,8,1351000,262144,5.153656006,0.194037010,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,9,1350000,262144,5.149841309,0.194180741,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,10,1424000,262144,5.432128906,0.184089888,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,11,1370000,262144,5.226135254,0.191345985,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,12,1352000,262144,5.157470703,0.193893491,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,13,1350000,262144,5.149841309,0.194180741,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,14,1388000,262144,5.294799805,0.188864553,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,64,15,1367000,262144,5.214691162,0.191765911,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,1,1292000,262144,4.928588867,0.202897833,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,2,1299000,262144,4.955291748,0.201804465,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,3,1290000,262144,4.920959473,0.203212403,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,4,1311000,262144,5.001068115,0.199957285,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,5,1291000,262144,4.924774170,0.203054996,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,6,1290000,262144,4.920959473,0.203212403,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,7,1365000,262144,5.207061768,0.192046886,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,8,1339000,262144,5.107879639,0.195775952,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,9,1358000,262144,5.180358887,0.193036819,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,10,1293000,262144,4.932403564,0.202740913,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,11,1318000,262144,5.027770996,0.198895296,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,12,1313000,262144,5.008697510,0.199652704,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,13,1308000,262144,4.989624023,0.200415902,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,14,1303000,262144,4.970550537,0.201184958,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,512,15,1297000,262144,4.947662354,0.202115652,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,1,1287000,262144,4.909515381,0.203686092,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,2,1282000,262144,4.890441895,0.204480499,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,3,1286000,262144,4.905700684,0.203844479,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,4,1339000,262144,5.107879639,0.195775952,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,5,1314000,262144,5.012512207,0.199500761,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,6,1345000,262144,5.130767822,0.194902602,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,7,1300000,262144,4.959106445,0.201649231,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,8,1284000,262144,4.898071289,0.204161994,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,9,1295000,262144,4.940032959,0.202427799,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,10,1284000,262144,4.898071289,0.204161994,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,11,1302000,262144,4.966735840,0.201339478,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,12,1292000,262144,4.928588867,0.202897833,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,13,1282000,262144,4.890441895,0.204480499,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,14,1310000,262144,4.997253418,0.200109924,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,4096,15,1337000,262144,5.100250244,0.196068811,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,1,1282000,262144,4.890441895,0.204480499,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,2,1284000,262144,4.898071289,0.204161994,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,3,1282000,262144,4.890441895,0.204480499,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,4,1310000,262144,4.997253418,0.200109924,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,5,1281000,262144,4.886627197,0.204640125,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,6,1283000,262144,4.894256592,0.204321122,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,7,1300000,262144,4.959106445,0.201649231,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,8,1284000,262144,4.898071289,0.204161994,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,9,1286000,262144,4.905700684,0.203844479,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,10,1282000,262144,4.890441895,0.204480499,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,11,1292000,262144,4.928588867,0.202897833,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,12,1336000,262144,5.096435547,0.196215569,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,13,1348000,262144,5.142211914,0.194468843,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,14,1300000,262144,4.959106445,0.201649231,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,8192,15,1291000,262144,4.924774170,0.203054996,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,1,1309000,262144,4.993438721,0.200262796,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,2,1304000,262144,4.974365234,0.201030675,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,3,1335000,262144,5.092620850,0.196362547,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,4,1310000,262144,4.997253418,0.200109924,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,5,1336000,262144,5.096435547,0.196215569,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,6,1321000,262144,5.039215088,0.198443603,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,7,1290000,262144,4.920959473,0.203212403,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,8,1286000,262144,4.905700684,0.203844479,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,9,1307000,262144,4.985809326,0.200569243,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,10,1306000,262144,4.981994629,0.200722818,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,11,1286000,262144,4.905700684,0.203844479,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,12,1288000,262144,4.913330078,0.203527950,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,13,1315000,262144,5.016326904,0.199349049,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,14,1350000,262144,5.149841309,0.194180741,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ttable-4k,block,65536,15,1301000,262144,4.962921143,0.201494235,,ok
