platform,cpu,compiler,algorithm,backend,operation,size_bytes,sample,elapsed_ns,bytes_processed,ns_per_byte,gbps,cycles_per_byte,status
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,15,2255900,262144,8.605575562,0.116203732,25.776039124,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,1,2258000,262144,8.613586426,0.116095660,25.802227020,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,2,1961300,262144,7.481765747,0.133658288,22.410041809,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,3,1935300,262144,7.382583618,0.135453935,22.112743378,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,4,1956300,262144,7.462692261,0.133999898,22.353172302,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,5,1880400,262144,7.173156738,0.139408636,21.485183716,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,6,1912800,262144,7.296752930,0.137047261,21.855880737,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,7,1938900,262144,7.396316528,0.135202434,22.153236389,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,8,2778600,262144,10.599517822,0.094343914,31.748714447,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,9,2320100,262144,8.850479126,0.112988233,26.509925842,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,10,2056800,262144,7.846069336,0.127452353,23.502204895,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,11,1805600,262144,6.887817383,0.145183872,20.631385803,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,12,1874100,262144,7.149124146,0.139877274,21.413635254,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,13,1876000,262144,7.156372070,0.139735608,21.434852600,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,14,1832800,262144,6.991577148,0.143029245,20.942672729,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,8192,15,1801700,262144,6.872940063,0.145498141,20.586776733,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,1,1878600,262144,7.166290283,0.139542212,21.480995178,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,2,1990700,262144,7.593917847,0.131684332,22.745719910,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,3,1927700,262144,7.353591919,0.135987965,22.025306702,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,4,2665900,262144,10.169601440,0.098332271,30.460586548,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,5,2691000,262144,10.265350342,0.097415087,30.748046875,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,6,2544500,262144,9.706497192,0.103023777,29.073291779,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,7,2003600,262144,7.643127441,0.130836494,22.893295288,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,8,1835300,262144,7.001113892,0.142834414,20.970077515,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,9,1895500,262144,7.230758667,0.138298074,21.657669067,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,10,1895100,262144,7.229232788,0.138327265,21.653160095,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,11,1874400,262144,7.150268555,0.139854887,21.417243958,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,12,1868200,262144,7.126617432,0.140319024,21.345878601,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,13,1943100,262144,7.412338257,0.134910195,22.202747345,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,14,1932500,262144,7.371902466,0.135650194,22.081165314,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,65536,15,1877200,262144,7.160949707,0.139646282,21.450401306,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,1,7709400,1048576,7.352256775,0.136012660,22.028278351,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,2,7318200,1048576,6.979179382,0.143283321,20.904167175,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,3,7909700,1048576,7.543277740,0.132568365,22.593916893,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,4,7219500,1048576,6.885051727,0.145242191,20.622089386,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,5,9439900,1048576,9.002590179,0.111079143,26.964601517,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,6,8060200,1048576,7.686805725,0.130093050,23.023778915,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,7,8278000,1048576,7.894515991,0.126670210,23.646082878,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,8,7643100,1048576,7.289028168,0.137192500,21.832464218,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,9,7732900,1048576,7.374668121,0.135599322,22.089010239,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,10,7430100,1048576,7.085895538,0.141125422,21.224370956,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,11,7472100,1048576,7.125949860,0.140332169,21.343767166,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,12,7172900,1048576,6.840610504,0.146185783,20.489454269,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,13,7608200,1048576,7.255744934,0.137821824,21.734045982,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,14,7526600,1048576,7.177925110,0.139316026,21.499652863,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,1048576,15,8711200,1048576,8.307647705,0.120371017,24.883663177,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,1,1039300,262144,3.964614868,0.252231310,11.878852844,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,2,1014800,262144,3.871154785,0.258320851,11.595634460,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,3,1006900,262144,3.841018677,0.260347602,11.505737305,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,4,982600,262144,3.748321533,0.266786078,11.227928162,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,5,980800,262144,3.741455078,0.267275693,11.206748962,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,6,984900,262144,3.757095337,0.266163062,11.253585815,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,7,982100,262144,3.746414185,0.266921902,11.221725464,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,8,992000,262144,3.784179688,0.264258065,11.334884644,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,9,983700,262144,3.752517700,0.266487750,11.240028381,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,10,1006600,262144,3.839874268,0.260425194,11.501632690,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,11,983600,262144,3.752136230,0.266514843,11.238739014,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ttable-4k,block,64,12,985300,262144,3.758621216,0.266055009,11.258499146,ok
